Label,Test,Pred,Prob,Class
LIPM,0,0,0.485284821,NotCR
ARHGDIG,0,0,0.485270623,NotCR
ZNF646,0,0,0.485222516,NotCR
ELAVL3,0,0,0.48522232,NotCR
VANGL1,0,0,0.485218385,NotCR
MON2,0,0,0.485190044,NotCR
PPFIBP2,0,0,0.485076216,NotCR
USP32,0,0,0.484992647,NotCR
TIMM17A,0,0,0.484894693,NotCR
RPL13,0,0,0.484825434,NotCR
TAGLN2,0,0,0.484609331,NotCR
EIF2S3B,0,0,0.484562798,NotCR
LIPF,0,0,0.484527544,NotCR
ATXN3L,0,0,0.484421561,NotCR
IDH1,0,0,0.484411403,NotCR
MTCH2,0,0,0.484379043,NotCR
YWHAE,0,0,0.484378452,NotCR
CCT4,0,0,0.484357115,NotCR
RALA,0,0,0.484340484,NotCR
FABP12,0,0,0.484267252,NotCR
ATAD3B,0,0,0.484246575,NotCR
CBX1,0,0,0.484245758,NotCR
IFT52,0,0,0.484199756,NotCR
LRIG1,0,0,0.484182094,NotCR
MAPK11,0,0,0.483982671,NotCR
EIF2AK4,1,0,0.483981998,CR
AKR1D1,0,0,0.483938599,NotCR
NPC1L1,0,0,0.483919044,NotCR
SYNJ2,0,0,0.483912189,NotCR
TMEM135,0,0,0.483895023,NotCR
DYM,0,0,0.483847583,NotCR
LONP1,0,0,0.483839039,NotCR
TIAL1,0,0,0.483761082,NotCR
PRKD3,0,0,0.483704689,NotCR
TIMM44,0,0,0.483689327,NotCR
ELAVL1,0,0,0.483596784,NotCR
PLS3,0,0,0.483577325,NotCR
TEX11,0,0,0.483492254,NotCR
RNF103-CHMP3,0,0,0.483433665,NotCR
NPAS2,0,0,0.483399888,NotCR
ECI2,0,0,0.483278845,NotCR
UCKL1,0,0,0.483168838,NotCR
PTCHD3,0,0,0.483149987,NotCR
TPM3,0,0,0.483081049,NotCR
RHOT2,0,0,0.483037144,NotCR
USP27X,0,0,0.483009527,NotCR
AP4B1,0,0,0.482979107,NotCR
ACOX3,0,0,0.482976085,NotCR
RAB6D,0,0,0.482936715,NotCR
RAB6B,0,0,0.482936715,NotCR
H3-3A,0,0,0.482902193,NotCR
XPA,0,0,0.482784845,NotCR
VCL,0,0,0.482720315,NotCR
STK4,0,0,0.482708593,NotCR
AKR1C2,0,0,0.482668615,NotCR
FADS3,0,0,0.482636971,NotCR
MAPK12,0,0,0.482625814,NotCR
AP1S2,0,0,0.482537846,NotCR
BTF3,0,0,0.482475433,NotCR
DDX3Y,0,0,0.482469313,NotCR
TSGA10,0,0,0.482430718,NotCR
SOCS2,0,0,0.48242138,NotCR
WASHC1,0,0,0.482352901,NotCR
CASP2,0,0,0.482200197,NotCR
PROP1,1,0,0.481974276,CR
DNAJC19,0,0,0.481973649,NotCR
ATP1A2,0,0,0.48195129,NotCR
SEL1L,0,0,0.481871188,NotCR
DBI,0,0,0.481852482,NotCR
PARVB,0,0,0.481832991,NotCR
TOP1MT,0,0,0.481591899,NotCR
FIG4,0,0,0.481518199,NotCR
HSPA1L,0,0,0.481369869,NotCR
SGCZ,0,0,0.481312093,NotCR
VANGL2,0,0,0.481066372,NotCR
MPV17L2,0,0,0.480924718,NotCR
GIPC1,0,0,0.480771901,NotCR
PER2,0,0,0.480738923,NotCR
TPM4,0,0,0.480664068,NotCR
MTCH1,0,0,0.4806332,NotCR
USP13,0,0,0.480605594,NotCR
RAB6A,0,0,0.480392625,NotCR
FOLH1,0,0,0.480386545,NotCR
STX2,0,0,0.480341223,NotCR
STK3,0,0,0.480324419,NotCR
ELOC,0,0,0.480310192,NotCR
FABP3,0,0,0.480295487,NotCR
GDI2,0,0,0.480228799,NotCR
HPGDS,0,0,0.480159923,NotCR
RCAN1,0,0,0.480128882,NotCR
GDF11,0,0,0.479996592,NotCR
RAB6C,0,0,0.479977052,NotCR
AFG3L2,1,0,0.479804366,CR
TIMM23,0,0,0.479772579,NotCR
CDS1,0,0,0.47969486,NotCR
SH3YL1,0,0,0.479670051,NotCR
SGPL1,0,0,0.47959842,NotCR
STX7,0,0,0.479596378,NotCR
BCS1L,0,0,0.479569672,NotCR
DEGS1,0,0,0.479507211,NotCR
TPM2,0,0,0.479482517,NotCR
TIMM17B,0,0,0.479464234,NotCR
COL1A1,0,0,0.479406288,NotCR
ATAD3A,0,0,0.479271273,NotCR
MAP2K1,0,0,0.479270212,NotCR
SLC25A14,0,0,0.479218309,NotCR
CERS4,0,0,0.479132629,NotCR
MRPS9,0,0,0.479123173,NotCR
CYB5R1,0,0,0.479090594,NotCR
MECR,0,0,0.479072643,NotCR
RAD51,0,0,0.47878832,NotCR
UBE2H,0,0,0.478756797,NotCR
AP3B2,0,0,0.47872684,NotCR
FADS2,0,0,0.478700888,NotCR
MSH6,0,0,0.478681238,NotCR
SLC16A3,0,0,0.478673577,NotCR
SMOC1,0,0,0.47860555,NotCR
AP1M2,0,0,0.478457134,NotCR
PAK1,0,0,0.478332994,NotCR
ASH2L,0,0,0.478329372,NotCR
ILK,0,0,0.478293733,NotCR
FABP9,0,0,0.478229334,NotCR
RBM23,0,0,0.478197755,NotCR
MRPS5,0,0,0.478185866,NotCR
EIF5AL1,0,0,0.478086443,NotCR
CWH43,0,0,0.478061313,NotCR
PABPC4,0,0,0.478049266,NotCR
PRMT1,0,0,0.478045397,NotCR
ATP10D,0,0,0.477898921,NotCR
NMT1,0,0,0.477749146,NotCR
CDS2,0,0,0.477638014,NotCR
MTBP,0,0,0.477619437,NotCR
SNAP25,0,0,0.47761767,NotCR
NEMF,0,0,0.477526387,NotCR
SLC16A12,0,0,0.477475558,NotCR
PRKAR1A,0,0,0.477403984,NotCR
POLG,0,0,0.477368691,NotCR
TOPORS,0,0,0.477353017,NotCR
LRIG2,0,0,0.477300557,NotCR
UGCG,0,0,0.477287611,NotCR
USP2,0,0,0.47722519,NotCR
EPS8,0,0,0.476806373,NotCR
SGK1,0,0,0.476713266,NotCR
EIF3K,0,0,0.476613349,NotCR
WDHD1,0,0,0.476471538,NotCR
PRKACG,0,0,0.476438511,NotCR
RBBP5,0,0,0.476401425,NotCR
CEBPB,0,0,0.476240803,NotCR
LRRN3,0,0,0.476209446,NotCR
CERS5,0,0,0.476174389,NotCR
KRAS,0,0,0.476134983,NotCR
PAK2,0,0,0.476013204,NotCR
CERS6,0,0,0.475871909,NotCR
SACM1L,0,0,0.475808103,NotCR
EIF5A2,0,0,0.475750757,NotCR
MPC1L,0,0,0.475744045,NotCR
GTF2F1,0,0,0.475655158,NotCR
UBE2N,0,0,0.475653345,NotCR
UCHL3,0,0,0.475635997,NotCR
SLC16A13,0,0,0.475631261,NotCR
ARL8B,0,0,0.47556593,NotCR
DYNLL1,0,0,0.475484186,NotCR
LRRN1,0,0,0.4754608,NotCR
SLC16A2,0,0,0.475253272,NotCR
USP14,0,0,0.475249772,NotCR
SLC7A5,0,0,0.475159918,NotCR
PMS2,0,0,0.475106821,NotCR
RHOT1,0,0,0.475065667,NotCR
DBNL,0,0,0.47505777,NotCR
DGAT1,0,0,0.475020624,NotCR
ELAVL2,0,0,0.47497436,NotCR
ING1,0,0,0.474961402,NotCR
USP3,0,0,0.474923503,NotCR
RBM38,0,0,0.474693523,NotCR
NUP205,0,0,0.474669997,NotCR
HNRNPA1,0,0,0.474531935,NotCR
CDC6,0,0,0.474530847,NotCR
DECR2,0,0,0.474516903,NotCR
DNA2,0,0,0.474438897,NotCR
SLC13A3,0,0,0.474194258,NotCR
CERS3,0,0,0.474117185,NotCR
SSRP1,0,0,0.474088448,NotCR
AP1M1,0,0,0.473893779,NotCR
PTEN,0,0,0.473822879,NotCR
HNRNPD,0,0,0.473790716,NotCR
TIA1,0,0,0.473790437,NotCR
PRELID1,0,0,0.473710631,NotCR
TP63,0,0,0.473606947,NotCR
PRPF38A,0,0,0.473572033,NotCR
QARS1,0,0,0.4734738,NotCR
ARHGDIA,0,0,0.473467191,NotCR
PRELID3B,0,0,0.473304868,NotCR
IFT22,0,0,0.47326693,NotCR
CDKN1A,0,0,0.473173454,NotCR
SLC16A5,0,0,0.473159899,NotCR
LSM7,0,0,0.472784149,NotCR
KIF17,0,0,0.472783594,NotCR
PPP6C,0,0,0.472703551,NotCR
AP3B1,0,0,0.472470824,NotCR
YWHAB,0,0,0.47231013,NotCR
IFT122,0,0,0.472052264,NotCR
FAP,1,0,0.471993665,CR
RNASEH2A,0,0,0.471871357,NotCR
ELAVL4,0,0,0.47186444,NotCR
DDX11,0,0,0.471848999,NotCR
MSH2,0,0,0.47164879,NotCR
SGPP1,0,0,0.471631057,NotCR
SLC16A10,0,0,0.471564766,NotCR
DMD,0,0,0.471477212,NotCR
DAGLA,0,0,0.471437323,NotCR
XPOT,0,0,0.471411963,NotCR
PPP4C,0,0,0.471384706,NotCR
RNGTT,0,0,0.471284139,NotCR
SGPP2,0,0,0.471170764,NotCR
FN1,0,0,0.471159437,NotCR
TPM1,0,0,0.471127757,NotCR
NUP85,0,0,0.471111977,NotCR
STX1A,0,0,0.471103742,NotCR
EZH2,0,0,0.470809619,NotCR
PRELID3A,0,0,0.470685477,NotCR
RDX,0,0,0.470600154,NotCR
RBMXL2,0,0,0.470585552,NotCR
HNRNPA3,0,0,0.470462821,NotCR
AGPAT5,0,0,0.470425562,NotCR
UBD,0,0,0.470403576,NotCR
ELP3,0,0,0.470329848,NotCR
RPL26L1,0,0,0.470002311,NotCR
ARF3,0,0,0.469900917,NotCR
SLC16A6,0,0,0.469890391,NotCR
SMOC2,0,0,0.469791388,NotCR
NACA2,0,0,0.469499785,NotCR
ACER3,0,0,0.469495073,NotCR
UPF2,0,0,0.469446479,NotCR
ZNF622,0,0,0.469189284,NotCR
ABCC11,0,0,0.469041615,NotCR
NUP155,0,0,0.468971952,NotCR
GPX4,0,0,0.468859654,NotCR
ALG10,0,0,0.468339962,NotCR
NDUFS2,1,0,0.46832788,CR
TWF1,0,0,0.468209802,NotCR
SLC25A4,0,0,0.467536346,NotCR
SDHAF2,0,0,0.467367415,NotCR
TRIM67,0,0,0.467206174,NotCR
TTC19,0,0,0.466908702,NotCR
BUB3,0,0,0.466833017,NotCR
NF1,0,0,0.466744391,NotCR
PPFIA3,0,0,0.466720573,NotCR
SLC25A5,0,0,0.46646796,NotCR
ALG12,1,0,0.466407554,CR
IFT172,0,0,0.466369284,NotCR
TRDMT1,0,0,0.466285919,NotCR
WARS2,0,0,0.466225707,NotCR
SLC25A20,0,0,0.466125596,NotCR
LARS2,0,0,0.466080916,NotCR
IFT140,0,0,0.466051994,NotCR
NEIL1,0,0,0.466028944,NotCR
NPR2,0,0,0.465673499,NotCR
CDK7,0,0,0.465661882,NotCR
TRIT1,0,0,0.465629931,NotCR
SLC36A2,0,0,0.465416047,NotCR
ERCC4,0,0,0.465201053,NotCR
ACTR1A,0,0,0.464903434,NotCR
ACSL3,0,0,0.464636546,NotCR
SLC36A3,0,0,0.464540056,NotCR
POLR3B,0,0,0.464440965,NotCR
SLC36A1,0,0,0.464377135,NotCR
POLR3C,0,0,0.464230678,NotCR
FEN1,0,0,0.46412213,NotCR
LCP1,0,0,0.463853565,NotCR
POLR3D,0,0,0.463822311,NotCR
MAD2L1,0,0,0.463820809,NotCR
HNRNPA1L2,0,0,0.463593592,NotCR
SLC66A2,0,0,0.463569905,NotCR
RPSA,0,0,0.463083558,NotCR
BTRC,0,0,0.462695856,NotCR
IARS2,0,0,0.462278878,NotCR
TGFBR1,0,0,0.461986396,NotCR
TERF2,0,0,0.461931252,NotCR
CERS2,0,0,0.461649014,NotCR
RARS1,0,0,0.461535962,NotCR
NAPA,0,0,0.461291458,NotCR
NRAS,0,0,0.460669337,NotCR
ARIH2,0,0,0.460470888,NotCR
IFT57,0,0,0.460327914,NotCR
SLC27A1,0,0,0.460309782,NotCR
ZDHHC15,0,0,0.460209178,NotCR
AKR1C4,0,0,0.460186351,NotCR
GATB,0,0,0.460059983,NotCR
CCT8,0,0,0.459400404,NotCR
POLA1,0,0,0.459334989,NotCR
ERCC1,0,0,0.459029511,NotCR
TARS3,0,0,0.458970794,NotCR
YARS2,0,0,0.458648976,NotCR
TARS1,0,0,0.458648976,NotCR
NARS1,0,0,0.458473366,NotCR
SLC25A32,0,0,0.458432112,NotCR
PTGES3,0,0,0.458280357,NotCR
AP3D1,0,0,0.458139958,NotCR
SLC66A1,0,0,0.458127958,NotCR
EEF1E1,0,0,0.458094926,NotCR
CEBPA,0,0,0.458057208,NotCR
SLC36A4,0,0,0.457978232,NotCR
NCBP2,0,0,0.457950872,NotCR
GDI1,0,0,0.457936064,NotCR
RPS3,0,0,0.457931598,NotCR
SYMPK,0,0,0.457090703,NotCR
SLC27A5,0,0,0.45685554,NotCR
CERT1,0,0,0.45657612,NotCR
TWF2,0,0,0.45627571,NotCR
BRK1,0,0,0.456243115,NotCR
SLC25A42,0,0,0.456130987,NotCR
QRSL1,0,0,0.456010151,NotCR
SLC13A5,0,0,0.455856761,NotCR
SLC13A2,0,0,0.455856761,NotCR
SLC25A30,0,0,0.455822604,NotCR
KIN,0,0,0.455751519,NotCR
MAGOHB,0,0,0.455730329,NotCR
CHEK1,0,0,0.455723218,NotCR
TAOK2,0,0,0.455556782,NotCR
SLC25A31,0,0,0.455484499,NotCR
MAGOH,0,0,0.455339564,NotCR
CNOT6,0,0,0.455276773,NotCR
ARPC2,0,0,0.454867145,NotCR
PPFIA1,0,0,0.454483514,NotCR
HUS1,0,0,0.454250593,NotCR
SRSF11,0,0,0.454232328,NotCR
DDX39A,0,0,0.453997984,NotCR
SLC25A2,0,0,0.453899755,NotCR
SLC25A6,0,0,0.453887934,NotCR
SLC25A39,0,0,0.453708581,NotCR
PPFIA2,0,0,0.453660758,NotCR
RAD50,0,0,0.453433261,NotCR
SLC27A6,0,0,0.453298392,NotCR
RPL3,0,0,0.45311902,NotCR
STUB1,0,0,0.452974364,NotCR
SLC25A15,0,0,0.452806801,NotCR
SNAP23,0,0,0.452699764,NotCR
IFT80,0,0,0.452511512,NotCR
LMNA,0,0,0.45238193,NotCR
XRCC6,0,0,0.452197724,NotCR
PPAN,0,0,0.452012259,NotCR
ELP1,0,0,0.45160333,NotCR
RPL31,1,0,0.4512771,CR
RPL4,0,0,0.4512771,NotCR
SLC25A44,0,0,0.451200125,NotCR
RPLP2,0,0,0.45094227,NotCR
TRNT1,0,0,0.4506893,NotCR
TRIM9,0,0,0.450181597,NotCR
FZR1,0,0,0.450123196,NotCR
MTO1,0,0,0.449541519,NotCR
RIMS1,0,0,0.449440477,NotCR
SLC25A16,0,0,0.449312681,NotCR
CDC14B,0,0,0.448744868,NotCR
DHX37,0,0,0.448415453,NotCR
SLC27A2,0,0,0.447811521,NotCR
SLC25A40,0,0,0.447384497,NotCR
ATP8B1,0,0,0.447340372,NotCR
SLC25A36,0,0,0.446839266,NotCR
TUT7,0,0,0.446603529,NotCR
LTV1,0,0,0.44659027,NotCR
RPL12,0,0,0.446180231,NotCR
SLC27A4,0,0,0.44593618,NotCR
SLC25A41,0,0,0.445470472,NotCR
SLC32A1,0,0,0.444960033,NotCR
SLC25A29,0,0,0.444686623,NotCR
HSD17B4,0,0,0.444258752,NotCR
FBXW11,0,0,0.444067214,NotCR
SLC25A48,0,0,0.443676386,NotCR
HRAS,0,0,0.442559242,NotCR
RPL10L,0,0,0.442450797,NotCR
AGO3,0,0,0.442166858,NotCR
SIRT7,0,0,0.441716961,NotCR
RPL10,0,0,0.441655018,NotCR
BRCA1,0,0,0.441522328,NotCR
SLC25A17,0,0,0.441418548,NotCR
DICER1,0,0,0.441332345,NotCR
TRIP13,0,0,0.441285882,NotCR
TAOK1,0,0,0.441033419,NotCR
SLC25A47,0,0,0.439054558,NotCR
HUS1B,0,0,0.438900529,NotCR
CUL1,0,0,0.438261924,NotCR
RPA1,0,0,0.438232538,NotCR
WASHC3,0,0,0.437977066,NotCR
SKP1,0,0,0.437689397,NotCR
RPS6,0,0,0.43744577,NotCR
PAK3,0,0,0.437360534,NotCR
PSMB5,0,0,0.436822343,NotCR
RPS21,0,0,0.436642297,NotCR
RPL10A,0,0,0.436642297,NotCR
RPLP0,0,0,0.434839745,NotCR
PSMB8,0,0,0.432558064,NotCR
PSMD14,0,0,0.432213297,NotCR
AGO2,0,0,0.430509611,NotCR
SMN2,0,0,0.43016418,NotCR
LSM6,0,0,0.429785022,NotCR
XRCC5,0,0,0.42931044,NotCR
MCM2,0,0,0.42879452,NotCR
BAX,0,0,0.42741634,NotCR
PSMD11,0,0,0.427215259,NotCR
PSMA4,0,0,0.425906771,NotCR
RPS16,0,0,0.42564794,NotCR
RPL35,0,0,0.425607279,NotCR
RCL1,0,0,0.425444804,NotCR
PSMC3,0,0,0.424928936,NotCR
NOP58,0,0,0.424633944,NotCR
SMAD3,0,0,0.423985665,NotCR
PSMC1,0,0,0.423922876,NotCR
SMAD2,0,0,0.423653563,NotCR
PSMC4,0,0,0.420727587,NotCR
DIS3,0,0,0.420406918,NotCR
EXOSC5,0,0,0.418330214,NotCR
RPL35A,0,0,0.417815586,NotCR
RPS7,0,0,0.417640198,NotCR
ATR,0,0,0.416989914,NotCR
HSPA8,0,0,0.415198477,NotCR
RPL26,0,0,0.414712115,NotCR
PSMC5,0,0,0.414503145,NotCR
DDX39B,0,0,0.414124169,NotCR
HNRNPA2B1,0,0,0.414070052,NotCR
NOB1,0,0,0.412884983,NotCR
SBDS,0,0,0.411459085,NotCR
AGO4,0,0,0.410892497,NotCR
THUMPD1,0,0,0.410089246,NotCR
MRPL1,0,0,0.408014526,NotCR
RPS8,0,0,0.40270204,NotCR
AGO1,0,0,0.402100149,NotCR
MRTO4,0,0,0.402063173,NotCR
PSMC2,0,0,0.398067667,NotCR
RPS27,0,0,0.397052353,NotCR
PRPF19,0,0,0.395400637,NotCR
PRDX6,0,0,0.384909058,NotCR
ERCC2,0,0,0.38265237,NotCR
ERN1,1,0,0.378198955,CR
EIF4A3,0,0,0.37502462,NotCR
BUD31,0,0,0.366423122,NotCR
RBM39,0,0,0.364013971,NotCR
RPS15,0,0,0.361978719,NotCR
TARDBP,0,0,0.361903398,NotCR
GTF2H1,0,0,0.340976297,NotCR
DHX9,0,0,0.338223576,NotCR
NSUN5,0,0,0.331050789,NotCR
DDX18,0,0,0.329847749,NotCR
RPL7,0,0,0.327772658,NotCR
RPL7A,0,0,0.327772658,NotCR
RPS14,0,0,0.323445593,NotCR
